date_requested,from_utc,to_utc,forecast_gco2_per_kwh,actual_gco2_per_kwh,index,from_uk,to_uk,date_uk,hour_uk,time_uk
2026-06-24,2026-06-24 04:30:00+00:00,2026-06-24 05:00:00+00:00,239,229,high,2026-06-24 05:30:00+01:00,2026-06-24 06:00:00+01:00,2026-06-24,5,05:30:00
2026-06-24,2026-06-24 05:00:00+00:00,2026-06-24 05:30:00+00:00,246,222,high,2026-06-24 06:00:00+01:00,2026-06-24 06:30:00+01:00,2026-06-24,6,06:00:00
2026-06-24,2026-06-24 05:30:00+00:00,2026-06-24 06:00:00+00:00,236,204,high,2026-06-24 06:30:00+01:00,2026-06-24 07:00:00+01:00,2026-06-24,6,06:30:00
2026-06-24,2026-06-24 06:00:00+00:00,2026-06-24 06:30:00+00:00,214,200,high,2026-06-24 07:00:00+01:00,2026-06-24 07:30:00+01:00,2026-06-24,7,07:00:00
2026-06-24,2026-06-24 06:30:00+00:00,2026-06-24 07:00:00+00:00,204,193,high,2026-06-24 07:30:00+01:00,2026-06-24 08:00:00+01:00,2026-06-24,7,07:30:00
2026-06-24,2026-06-24 07:00:00+00:00,2026-06-24 07:30:00+00:00,190,184,high,2026-06-24 08:00:00+01:00,2026-06-24 08:30:00+01:00,2026-06-24,8,08:00:00
2026-06-24,2026-06-24 07:30:00+00:00,2026-06-24 08:00:00+00:00,190,175,high,2026-06-24 08:30:00+01:00,2026-06-24 09:00:00+01:00,2026-06-24,8,08:30:00
2026-06-24,2026-06-24 08:00:00+00:00,2026-06-24 08:30:00+00:00,179,163,moderate,2026-06-24 09:00:00+01:00,2026-06-24 09:30:00+01:00,2026-06-24,9,09:00:00
2026-06-24,2026-06-24 08:30:00+00:00,2026-06-24 09:00:00+00:00,174,145,moderate,2026-06-24 09:30:00+01:00,2026-06-24 10:00:00+01:00,2026-06-24,9,09:30:00
2026-06-24,2026-06-24 09:00:00+00:00,2026-06-24 09:30:00+00:00,161,135,moderate,2026-06-24 10:00:00+01:00,2026-06-24 10:30:00+01:00,2026-06-24,10,10:00:00
2026-06-24,2026-06-24 09:30:00+00:00,2026-06-24 10:00:00+00:00,138,134,moderate,2026-06-24 10:30:00+01:00,2026-06-24 11:00:00+01:00,2026-06-24,10,10:30:00
2026-06-24,2026-06-24 10:00:00+00:00,2026-06-24 10:30:00+00:00,130,130,moderate,2026-06-24 11:00:00+01:00,2026-06-24 11:30:00+01:00,2026-06-24,11,11:00:00
2026-06-24,2026-06-24 10:30:00+00:00,2026-06-24 11:00:00+00:00,127,130,moderate,2026-06-24 11:30:00+01:00,2026-06-24 12:00:00+01:00,2026-06-24,11,11:30:00
2026-06-24,2026-06-24 11:00:00+00:00,2026-06-24 11:30:00+00:00,128,131,moderate,2026-06-24 12:00:00+01:00,2026-06-24 12:30:00+01:00,2026-06-24,12,12:00:00
2026-06-24,2026-06-24 11:30:00+00:00,2026-06-24 12:00:00+00:00,128,136,moderate,2026-06-24 12:30:00+01:00,2026-06-24 13:00:00+01:00,2026-06-24,12,12:30:00
2026-06-24,2026-06-24 12:00:00+00:00,2026-06-24 12:30:00+00:00,128,134,moderate,2026-06-24 13:00:00+01:00,2026-06-24 13:30:00+01:00,2026-06-24,13,13:00:00
2026-06-24,2026-06-24 12:30:00+00:00,2026-06-24 13:00:00+00:00,124,136,moderate,2026-06-24 13:30:00+01:00,2026-06-24 14:00:00+01:00,2026-06-24,13,13:30:00
2026-06-24,2026-06-24 13:00:00+00:00,2026-06-24 13:30:00+00:00,130,141,moderate,2026-06-24 14:00:00+01:00,2026-06-24 14:30:00+01:00,2026-06-24,14,14:00:00
2026-06-24,2026-06-24 13:30:00+00:00,2026-06-24 14:00:00+00:00,125,150,moderate,2026-06-24 14:30:00+01:00,2026-06-24 15:00:00+01:00,2026-06-24,14,14:30:00
2026-06-24,2026-06-24 14:00:00+00:00,2026-06-24 14:30:00+00:00,137,152,moderate,2026-06-24 15:00:00+01:00,2026-06-24 15:30:00+01:00,2026-06-24,15,15:00:00
2026-06-24,2026-06-24 14:30:00+00:00,2026-06-24 15:00:00+00:00,134,151,moderate,2026-06-24 15:30:00+01:00,2026-06-24 16:00:00+01:00,2026-06-24,15,15:30:00
2026-06-24,2026-06-24 15:00:00+00:00,2026-06-24 15:30:00+00:00,150,161,moderate,2026-06-24 16:00:00+01:00,2026-06-24 16:30:00+01:00,2026-06-24,16,16:00:00
2026-06-24,2026-06-24 15:30:00+00:00,2026-06-24 16:00:00+00:00,156,170,high,2026-06-24 16:30:00+01:00,2026-06-24 17:00:00+01:00,2026-06-24,16,16:30:00
2026-06-24,2026-06-24 16:00:00+00:00,2026-06-24 16:30:00+00:00,168,172,high,2026-06-24 17:00:00+01:00,2026-06-24 17:30:00+01:00,2026-06-24,17,17:00:00
2026-06-24,2026-06-24 16:30:00+00:00,2026-06-24 17:00:00+00:00,169,189,high,2026-06-24 17:30:00+01:00,2026-06-24 18:00:00+01:00,2026-06-24,17,17:30:00
2026-06-24,2026-06-24 17:00:00+00:00,2026-06-24 17:30:00+00:00,181,201,high,2026-06-24 18:00:00+01:00,2026-06-24 18:30:00+01:00,2026-06-24,18,18:00:00
2026-06-24,2026-06-24 17:30:00+00:00,2026-06-24 18:00:00+00:00,193,210,high,2026-06-24 18:30:00+01:00,2026-06-24 19:00:00+01:00,2026-06-24,18,18:30:00
2026-06-24,2026-06-24 18:00:00+00:00,2026-06-24 18:30:00+00:00,207,213,high,2026-06-24 19:00:00+01:00,2026-06-24 19:30:00+01:00,2026-06-24,19,19:00:00
2026-06-24,2026-06-24 18:30:00+00:00,2026-06-24 19:00:00+00:00,216,217,high,2026-06-24 19:30:00+01:00,2026-06-24 20:00:00+01:00,2026-06-24,19,19:30:00
2026-06-24,2026-06-24 19:00:00+00:00,2026-06-24 19:30:00+00:00,223,223,high,2026-06-24 20:00:00+01:00,2026-06-24 20:30:00+01:00,2026-06-24,20,20:00:00
2026-06-24,2026-06-24 19:30:00+00:00,2026-06-24 20:00:00+00:00,227,229,high,2026-06-24 20:30:00+01:00,2026-06-24 21:00:00+01:00,2026-06-24,20,20:30:00
2026-06-24,2026-06-24 20:00:00+00:00,2026-06-24 20:30:00+00:00,236,230,very high,2026-06-24 21:00:00+01:00,2026-06-24 21:30:00+01:00,2026-06-24,21,21:00:00
2026-06-24,2026-06-24 20:30:00+00:00,2026-06-24 21:00:00+00:00,238,220,high,2026-06-24 21:30:00+01:00,2026-06-24 22:00:00+01:00,2026-06-24,21,21:30:00
2026-06-24,2026-06-24 21:00:00+00:00,2026-06-24 21:30:00+00:00,240,225,high,2026-06-24 22:00:00+01:00,2026-06-24 22:30:00+01:00,2026-06-24,22,22:00:00
